"","QKEY","Device_Type_W63.5","LANG_W63.5","COVIDFOL_W63.5","COVIDCOVER1_W63.5","COVIDCOVER2_W63.5","COVIDCONF_a_W63.5","COVIDCONF_b_W63.5","COVIDCONF_c_W63.5","COVIDCONF_d_W63.5","COVIDTONE_a_W63.5","COVIDTONE_b_W63.5","COVIDTONE_c_W63.5","COVIDTONE_d_W63.5","COVIDNEWS1_W63.5","COVIDTHREAT_a_W63.5","COVIDTHREAT_b_W63.5","COVIDTHREAT_c_W63.5","COVIDTHREAT_d_W63.5","COVIDTHREAT_e_W63.5","COVIDMISINFO_W63.5","COVIDVACC_W63.5","COVIDCREATE_W63.5","COVIDWORK_W63.5","INSURANCE_W63.5","GROUP_TRUST_a_W57","NEWS_MOST_W57","TALKPOL_W57","FOLELECT_W57","CR_PARTYNEWSUSE_W57","CR_NEWS_INFLU_W57","CR_DIG_SAV_W57","CR_MAINSOPOL_GROUPS_W57","CR_KNOWLEDGE_INDEX_W57","F_METRO","F_CREGION","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_RACECMB","F_RACETHN","F_CITIZEN","F_NATIVITY2","F_MARITAL","F_RELIG","F_BORN","F_ATTEND","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_IDEO","F_ACSWEB","F_VOLSUM","WEIGHT_W63.5"
"31",106068,1,1,1,2,2,4,4,2,4,2,5,4,4,3,2,2,1,2,1,2,3,3,1,1,4,2,1,1,4,2,1,7,3,1,1,4,1,1,6,2,1,1,1,1,1,9,NA,6,2,NA,2,8,1,1,5,1,1,0.290888278956302
"32",106180,2,1,3,4,2,1,1,1,1,1,3,1,3,2,3,3,2,2,3,2,2,1,1,1,3,2,2,2,1,2,1,4,2,1,3,3,1,2,4,2,1,1,1,1,1,1,1,1,1,NA,1,6,2,1,1,1,1,0.638567737130543
"33",106297,1,1,2,2,1,4,2,1,1,2,4,3,2,1,2,3,3,3,3,3,5,5,4,1,1,5,2,1,4,2,3,98,3,1,4,4,1,1,6,2,1,1,1,1,1,1,99,2,2,NA,2,99,99,1,3,1,1,0.189308575697641
"34",106444,2,1,1,1,1,4,2,2,3,3,5,3,4,1,2,2,1,2,2,2,3,3,4,1,1,1,2,1,4,1,1,98,2,1,1,4,2,1,5,2,1,1,1,1,1,2,2,5,2,NA,2,8,1,1,4,1,1,0.356311516961973
"35",106590,2,1,1,3,3,2,2,3,3,1,2,2,2,2,2,3,2,2,2,2,2,1,1,1,4,3,4,3,2,3,2,98,2,1,4,3,2,1,6,2,1,1,1,1,1,12,NA,5,3,1,1,8,1,1,3,1,1,0.306139186335217
"36",106885,2,1,1,4,4,1,1,2,1,1,3,1,3,2,2,3,1,2,3,1,5,1,4,1,4,4,2,2,2,1,2,4,2,1,4,4,2,1,5,1,5,3,1,1,1,2,2,1,1,NA,1,9,1,1,1,1,1,0.259086357346931
"37",107023,1,1,1,1,1,4,4,3,2,2,5,3,4,1,2,1,2,2,2,99,2,5,2,1,2,7,2,2,5,2,2,98,2,1,3,3,2,2,4,2,2,2,1,1,2,1,1,1,4,2,2,4,2,1,4,1,1,0.484553323170196
"38",107329,2,1,1,1,1,4,4,1,2,3,5,3,3,1,1,2,1,2,2,4,3,3,2,1,2,5,1,1,5,1,1,5,2,1,1,3,2,1,5,2,2,2,1,1,6,2,2,5,2,NA,2,5,2,1,5,1,2,0.826693118274531
"39",107668,3,1,1,1,1,2,2,1,1,2,4,2,3,1,2,2,1,3,2,3,3,5,1,1,1,4,3,2,3,2,1,1,3,2,3,3,2,1,5,2,1,1,1,1,6,1,2,6,1,NA,1,6,2,1,3,1,1,0.569989743374606
"40",108035,2,1,2,4,3,1,1,1,1,1,3,1,3,2,3,3,1,2,3,1,2,3,1,1,4,2,1,3,2,2,1,4,2,1,4,3,1,3,1,2,1,1,1,1,1,1,2,3,1,NA,1,8,1,1,2,1,1,1.2520316948967
"41",108169,1,1,1,3,3,4,3,2,3,2,5,4,3,1,1,1,1,1,1,4,3,3,1,1,1,7,2,1,4,2,1,3,3,1,2,2,2,1,6,2,1,1,1,1,1,12,NA,6,2,NA,2,6,2,1,4,1,1,0.321271048086536
"42",108348,1,1,2,3,2,3,4,3,2,1,3,3,3,1,2,3,2,3,2,2,4,1,3,1,2,4,2,4,3,3,2,1,1,1,4,3,2,2,3,2,1,1,1,1,6,1,1,2,3,1,1,5,2,1,2,1,2,0.833417887646249
"43",108447,2,1,1,2,2,1,1,1,1,2,3,2,3,1,2,2,2,3,2,4,2,3,4,1,3,4,1,1,1,2,2,4,3,1,3,4,2,1,5,2,1,1,1,1,3,1,2,4,1,NA,1,5,2,1,2,1,2,1.00859486904837
"44",108592,1,1,1,2,2,4,4,2,2,3,5,3,3,1,1,1,1,1,1,4,3,3,5,1,1,99,1,1,6,1,1,2,2,1,2,4,2,2,4,2,2,2,1,1,3,1,2,2,2,NA,2,4,2,1,3,1,1,0.492020514008727
"45",108909,3,1,2,2,1,2,2,2,1,2,3,3,5,3,1,1,1,1,3,3,5,3,1,1,2,3,4,3,5,3,3,6,1,1,2,3,2,3,1,2,1,1,1,1,5,2,2,4,2,NA,2,2,3,3,4,2,1,2.07914801176031
"46",109143,2,1,1,1,1,1,1,1,1,3,3,3,3,1,1,2,1,2,2,2,3,3,3,1,1,7,4,3,3,3,1,98,2,1,3,2,2,3,2,2,1,1,1,1,1,1,2,5,1,NA,1,6,2,1,3,1,1,0.831104252080233
"47",109188,2,1,1,1,1,4,3,1,3,3,4,3,3,1,2,2,1,1,1,4,3,3,1,1,2,7,2,1,5,99,2,7,2,1,2,4,2,1,6,2,1,1,1,1,3,2,2,2,3,2,2,99,99,1,3,1,1,0.388989468179123
"48",110041,1,1,2,4,2,99,1,1,1,1,3,1,2,1,2,3,3,3,3,2,2,3,4,1,4,5,1,1,2,1,1,4,3,1,3,4,1,1,6,2,1,1,1,1,1,2,2,5,1,NA,1,8,1,1,1,1,2,0.561078032636311
"49",110129,1,1,2,1,1,2,1,2,2,1,3,2,4,1,2,2,1,2,2,3,5,3,4,1,2,3,3,2,2,2,2,4,1,1,2,4,2,1,5,2,1,1,1,1,1,1,1,1,1,NA,1,6,2,1,2,1,1,0.45784816076789
"50",110261,2,1,4,2,4,3,3,3,2,1,1,1,1,3,2,2,1,2,2,1,5,5,4,1,2,4,4,4,3,3,1,98,1,2,2,2,2,2,4,2,1,1,1,1,1,12,NA,6,2,NA,2,8,1,3,3,1,2,2.18448627217362
"51",110361,1,1,1,1,1,4,3,3,2,3,5,3,3,1,1,2,1,3,1,3,3,3,1,1,1,5,2,1,5,1,3,5,3,1,3,4,1,1,6,2,1,1,1,6,1,9,NA,5,3,2,2,8,1,1,3,1,1,0.222890084727651
"52",110550,2,1,1,2,1,1,1,2,1,2,3,2,3,1,2,1,1,2,2,4,3,3,1,1,4,7,4,1,1,2,1,4,2,1,3,3,1,1,5,2,1,1,1,1,1,1,1,1,4,1,1,8,1,1,3,1,1,0.217398738862374
"53",111646,2,1,1,1,1,4,4,1,1,3,4,3,3,1,1,2,1,2,1,99,3,99,4,1,2,4,2,1,5,1,3,5,2,1,4,4,2,1,5,2,1,1,1,1,1,3,2,2,3,2,2,8,1,1,3,1,1,0.312523776231842
"54",112238,1,1,1,2,1,2,2,2,2,2,3,2,3,1,2,2,2,2,2,2,3,3,5,1,2,3,3,2,2,2,2,6,1,1,4,3,2,3,2,2,1,1,1,1,5,12,NA,5,1,NA,1,5,2,1,2,1,2,2.08768433229078
"55",112371,2,1,2,4,2,1,1,2,1,5,3,5,3,2,3,2,3,3,2,1,3,5,5,1,4,5,4,1,2,2,1,3,2,1,1,3,2,2,3,1,99,3,1,1,1,2,2,4,3,1,1,4,2,1,3,1,1,0.255971869087527
"56",112495,1,1,2,3,2,4,4,2,2,2,5,3,3,3,2,2,1,2,2,2,3,3,1,1,2,7,4,4,5,3,2,98,2,1,2,3,2,1,6,2,1,1,1,1,2,10,NA,6,2,NA,2,8,1,1,4,1,1,0.207158536236368
"57",112517,2,1,2,3,1,2,2,2,2,1,3,3,2,1,3,3,1,2,3,2,3,3,1,1,2,4,4,3,7,3,2,4,2,1,2,3,2,1,6,2,1,1,1,1,1,1,1,2,3,1,1,7,1,1,2,1,1,0.282513229567279
"58",112613,1,1,1,1,1,1,1,1,2,2,3,3,4,2,1,3,1,1,2,1,3,3,4,1,2,4,2,2,2,2,3,4,2,1,3,4,2,1,6,2,1,1,1,1,6,1,2,4,1,NA,1,8,1,1,3,1,1,0.428054601938189
"59",112715,2,1,1,1,1,4,3,2,2,3,5,4,4,1,2,2,1,2,2,3,3,3,2,1,2,2,1,1,5,1,1,7,3,1,1,3,1,1,6,2,1,1,1,1,1,2,2,5,3,2,2,7,1,1,3,1,1,0.210860979240213
"60",112984,1,1,1,1,1,4,3,1,1,1,5,1,3,1,1,2,2,2,2,3,2,3,2,1,2,1,2,1,5,2,3,98,1,1,3,3,2,1,6,2,1,1,1,1,1,12,NA,5,2,NA,2,8,1,1,5,2,1,0.51617418608738
"61",112987,2,1,2,2,1,1,1,2,2,1,3,1,4,99,1,2,1,2,2,3,2,1,1,1,3,2,2,1,2,2,1,4,3,2,3,3,1,1,5,2,1,1,1,1,1,1,1,3,1,NA,1,9,1,1,2,1,1,0.289457157860605
"62",113248,2,1,1,2,1,4,4,4,2,3,4,4,3,1,1,2,1,3,2,3,3,3,4,1,2,7,1,1,5,2,1,5,3,1,3,3,1,1,6,2,99,99,1,1,1,11,2,2,3,2,2,9,1,1,2,1,2,0.355166176949301
"63",113274,2,1,2,2,2,3,3,2,1,3,3,3,3,1,1,1,1,1,1,2,3,3,3,1,2,4,2,2,5,2,2,3,3,1,1,3,1,2,4,2,3,4,1,1,6,1,2,4,2,NA,2,3,3,1,3,1,2,0.839584337587324
"64",113412,1,1,1,1,2,1,1,1,1,2,3,2,3,1,2,1,1,2,2,3,3,1,4,1,3,3,1,1,2,2,1,4,3,1,3,4,2,2,3,2,1,1,1,1,1,1,2,6,1,NA,1,4,2,1,3,1,2,1.19108497901189
"65",113565,2,1,1,2,2,1,1,3,2,1,2,2,2,2,2,3,2,2,3,2,2,3,3,1,3,3,1,1,2,2,3,4,1,2,3,3,1,2,3,2,1,1,1,1,1,1,1,2,2,NA,2,7,1,1,2,1,2,0.895406319399798
"66",114190,1,1,1,1,1,4,4,1,1,3,5,3,3,1,1,2,1,2,2,3,3,3,4,1,1,1,1,1,4,2,1,98,2,1,1,4,2,1,5,2,1,1,1,1,1,1,2,5,2,NA,2,7,1,1,4,1,1,0.356311516961973
"67",114473,3,1,2,2,1,1,1,1,1,1,4,2,3,1,2,3,1,3,1,3,2,3,4,1,2,4,2,2,1,2,3,4,2,1,1,4,2,1,6,2,1,1,1,1,6,1,1,1,1,NA,1,1,3,1,2,1,1,0.562652584525714
"68",114671,1,1,2,4,3,1,1,4,2,1,3,1,2,3,3,3,2,2,3,2,3,3,4,1,4,5,1,1,2,99,1,4,3,1,4,4,1,1,6,2,1,1,1,1,1,1,2,5,3,1,1,8,1,1,2,1,1,0.255975292289027
"69",114797,1,1,1,1,1,4,2,99,1,2,5,2,3,1,1,1,1,1,1,4,3,5,4,1,1,4,3,1,5,2,1,6,3,1,1,4,1,1,5,2,1,1,1,1,1,1,2,4,3,2,2,9,1,1,3,1,1,0.286813937970468
"70",114898,2,1,1,2,2,2,2,3,3,1,3,1,2,1,2,2,1,1,2,2,3,3,2,1,2,4,2,2,2,2,2,6,2,2,2,4,2,1,6,2,1,1,1,1,1,1,2,2,1,NA,1,7,1,1,2,1,1,0.490550188603343
"71",115295,1,1,2,2,2,3,3,3,2,3,3,3,3,1,1,1,1,1,1,4,2,1,1,1,4,1,4,2,3,1,1,98,3,1,4,3,1,2,4,2,4,4,1,1,6,1,1,2,4,1,1,6,2,1,2,1,2,1.0599825082337
"72",115546,1,1,2,4,3,4,3,3,1,1,4,1,3,1,3,3,1,2,2,2,3,3,1,1,4,7,4,3,7,3,1,99,3,2,4,3,1,1,5,2,1,1,1,1,1,10,NA,6,3,1,1,9,1,1,3,1,2,1.3054245667601
"73",115568,2,1,1,1,1,4,4,2,1,2,5,3,3,1,2,3,2,3,2,3,3,3,1,1,2,7,1,1,4,1,1,98,3,1,4,2,2,1,6,2,1,1,1,1,1,9,NA,6,2,NA,2,9,1,1,5,1,1,0.363641650755487
"74",115650,1,1,1,1,1,4,3,1,2,3,5,3,3,1,1,2,1,1,1,4,3,3,1,1,1,7,1,1,5,2,1,3,2,1,3,3,2,2,4,2,1,1,1,1,1,2,2,2,3,2,2,8,1,1,3,1,1,0.231027914158224
"75",115807,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,3,2,3,3,4,3,5,4,1,4,5,2,1,1,1,1,4,2,1,3,4,1,2,4,2,1,1,1,1,1,1,2,2,1,NA,1,6,2,1,2,1,2,0.884522665575274
"76",115973,1,1,1,2,1,4,4,2,1,3,5,3,3,1,1,2,1,1,1,2,3,5,2,1,1,4,2,1,5,2,2,5,2,1,1,4,2,1,5,2,1,1,1,1,1,1,2,2,2,NA,2,7,1,1,5,1,1,0.356311516961973
"77",116151,1,1,1,1,1,1,1,1,1,1,3,1,3,1,2,2,2,3,3,2,3,2,4,1,4,5,1,1,1,1,3,4,3,1,4,4,2,3,1,2,1,1,1,1,1,1,1,1,1,NA,1,2,3,1,1,1,1,1.21099322242844
"78",116182,2,1,1,2,2,2,2,2,2,2,2,3,4,1,1,2,1,2,2,3,2,2,4,1,4,7,3,1,1,2,3,4,1,1,4,4,1,2,3,2,1,1,1,1,1,1,2,5,1,NA,1,7,1,1,2,1,2,1.03825631020634
"79",116264,1,1,1,3,2,1,1,2,1,2,4,99,3,1,1,3,1,3,3,2,5,5,3,2,3,3,2,1,1,2,2,4,1,1,1,3,2,1,6,2,1,1,1,1,1,2,2,3,1,NA,1,5,2,1,3,1,2,0.949735347914785
"80",116439,1,1,1,2,1,2,2,2,1,1,4,1,3,1,2,3,1,2,2,3,3,3,2,1,2,7,3,2,3,2,1,98,1,1,4,3,2,1,5,2,1,1,1,1,6,1,1,2,3,1,1,5,2,1,3,1,1,0.319276325286437
"81",116591,1,1,2,2,2,2,3,2,2,3,3,3,3,3,1,2,1,3,2,3,5,5,4,1,2,2,4,4,3,3,1,3,1,1,3,4,2,2,3,2,1,1,1,1,1,12,NA,6,1,NA,1,3,3,1,1,1,2,1.19108497901189
"82",116617,1,1,1,1,1,4,4,1,1,3,5,3,3,1,2,2,1,2,2,4,3,3,1,1,1,6,1,1,5,1,1,2,2,1,3,3,1,1,6,2,1,1,1,1,2,1,2,4,3,2,2,9,1,1,3,1,1,0.226096970563932
"83",116861,1,1,1,3,1,1,1,1,1,1,3,1,3,1,2,2,2,3,2,2,3,5,4,1,3,2,1,2,2,2,1,98,3,1,2,3,2,1,5,2,1,1,1,1,1,1,1,1,1,NA,1,3,3,1,2,1,1,0.317264943657635
"84",116998,1,1,1,2,1,4,4,1,2,3,5,3,3,1,1,2,1,2,1,3,3,3,1,1,1,4,3,2,5,2,1,3,2,1,2,3,2,1,6,2,2,2,1,1,3,1,99,2,2,NA,2,99,99,1,4,1,2,1.04629479638466
"85",117214,3,1,2,2,2,4,4,2,3,3,5,3,4,1,1,1,1,2,1,2,3,3,2,1,1,7,2,1,5,2,1,98,3,1,1,2,1,1,6,2,1,1,1,1,1,10,NA,5,3,2,2,7,1,1,5,1,2,1.23320794073914
"86",117395,3,1,2,2,1,4,3,2,3,3,5,3,3,1,2,2,1,2,1,3,3,3,4,1,1,7,1,2,4,2,2,98,3,1,4,4,2,1,5,2,1,1,1,1,5,12,NA,6,2,NA,2,9,1,1,4,1,1,0.317007737119546
"87",118060,3,1,1,1,1,1,1,1,1,3,3,4,3,1,1,2,1,2,2,4,2,5,4,1,2,3,3,3,1,3,2,4,1,1,3,3,2,1,5,2,1,1,1,1,1,2,2,6,1,NA,1,6,2,1,2,1,2,0.714604118119996
"88",118110,1,1,2,1,1,3,2,2,2,3,4,3,4,1,2,3,3,3,3,3,5,5,3,1,2,3,2,2,5,2,3,5,1,1,2,3,2,3,2,2,1,1,1,1,1,2,2,4,2,NA,2,5,2,1,3,1,2,1.1148969583423
"89",118414,3,1,1,4,1,1,1,2,1,2,3,5,3,3,2,2,2,3,2,1,3,3,4,1,3,5,3,1,1,2,2,4,1,2,2,4,2,3,2,2,1,1,1,1,1,1,2,6,1,NA,1,7,1,1,1,1,2,2.92679538555673
"90",118847,2,1,1,1,1,4,4,2,2,3,4,3,3,3,2,2,2,2,2,4,5,3,4,1,1,1,1,1,4,1,1,9,3,1,2,4,2,1,6,2,1,1,1,1,1,9,NA,5,2,NA,2,9,1,1,5,1,2,0.641349978087743
"91",118888,1,1,1,1,1,4,3,2,2,4,5,4,3,1,2,1,2,2,2,4,1,3,4,1,1,5,3,1,5,1,1,5,2,1,4,4,2,1,5,2,1,1,1,1,5,3,2,5,2,NA,2,99,99,1,4,1,2,0.731697566812459
"92",119121,2,1,1,1,1,4,2,2,2,3,5,3,3,1,1,1,1,2,2,3,3,5,1,1,1,5,1,1,5,1,3,3,2,1,3,3,2,2,3,2,1,1,1,1,3,1,2,5,2,NA,2,3,3,1,4,1,2,0.524389549189951
"93",119128,2,1,2,4,4,1,1,1,1,1,3,1,2,1,2,2,1,2,2,2,3,3,2,1,4,2,2,2,2,2,1,4,2,1,2,3,2,1,5,2,1,1,1,1,1,1,1,1,1,NA,1,99,99,1,2,1,1,0.317264943657635
"94",119392,1,1,2,2,2,2,2,2,2,3,3,3,3,1,2,2,2,2,2,4,5,5,3,2,3,3,4,3,2,3,3,4,2,2,2,1,1,3,2,2,1,1,1,1,6,2,2,4,1,NA,1,1,3,1,3,1,2,7.48762122176581
"95",119548,1,1,1,1,1,1,1,2,1,2,3,2,3,3,2,2,1,3,2,3,3,3,4,2,3,5,3,2,1,2,2,4,1,1,1,4,2,3,2,2,1,1,1,1,99,1,1,2,3,1,1,99,99,1,3,1,1,1.21422699862779
"96",119714,2,1,1,1,1,4,4,2,1,3,5,4,3,1,1,2,1,2,2,3,3,3,1,1,1,4,4,1,6,2,2,2,2,1,2,4,2,2,4,2,1,1,1,1,1,1,2,4,3,2,2,8,1,1,3,1,1,0.321635779818161
"97",120118,2,1,3,2,2,2,99,2,2,2,3,99,3,3,1,2,1,2,2,2,2,3,2,1,2,6,3,4,7,3,2,6,2,2,2,2,2,2,4,2,1,1,1,1,1,2,2,2,1,NA,1,5,2,1,2,1,1,0.628150555740389
